Business Name,Business Startdate,City,State,Street Direction,Street Name,Street Number,Street Suffix,Zip,Business Class,Reason for Applying,Latitude,Longitude,Location
TURF BUILDERS,09/01/2006,CHATTANOOGA,TN,,ISBILL,349,RD,37419,,1 - New Business,35.0347599240001,-85.3728415699999,"(35.0347599240001, -85.3728415699999)"
HOMESITTERS LLC,04/18/2013,CHATTANOOGA,TN,,IVY,1700,ST,37404,,1 - New Business,35.039083745,-85.275751809,"(35.039083745, -85.275751809)"
LA PACHANGA MEXICAN GRILL AND CANTINA,05/19/2011,CHATTANOOGA,TN,,BRAINERD,5647,RD,37411,,1 - New Business,35.011600941,-85.215647538,"(35.011600941, -85.215647538)"
IRBY STUART C COMPANY,10/01/1987,CHATTANOOGA,TN,W,26TH,507,ST,37408-2813,,1 - New Business,,,
PIZZA HUT #12606,12/24/1998,CHATTANOOGA,TN,E,BRAINERD,7801,RD,37421,,1 - New Business,,,
NOODLE & PHO,06/01/2013,HIXSON,TN,,HWY 153,5450,,37343,,1 - New Business,35.1396044900001,-85.248091195,"(35.1396044900001, -85.248091195)"
AQUARIUM FOODS,05/01/1993,CHATTANOOGA,TN,,BROAD,2,ST,37402,,1 - New Business,,,
MSC INDUSTRIAL SUPPLY COMPANY,09/16/1997,CHATTANOOGA,TN,,CROMWELL,4295,RD,37421,,1 - New Business,35.0649988380001,-85.1966520129999,"(35.0649988380001, -85.1966520129999)"
TWIN CITY ENTERPRISES,06/01/2011,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
CHATTANOOGA GAS COMPANY,10/01/1988,CHATTANOOGA,TN,,OLAN MILLS,2207,DR,37421,,1 - New Business,35.050608175,-85.1847873199999,"(35.050608175, -85.1847873199999)"
DJM COMPUTER REPAIR,01/25/2010,CHATTANOOGA,TN,,OAK,1603,ST,37404,,1 - New Business,35.038318943,-85.2780052699999,"(35.038318943, -85.2780052699999)"
